Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/22/001,22,éléments océanographiques,022001,Direction des vagues,degré vrai,0,0,9,degré vrai,0,3,(voir Note 6),136,Operational,Original
bufr4/0/22/002,22,éléments océanographiques,022002,Direction des vagues de la mer du vent,degré vrai,0,0,9,degré vrai,0,3,(voir Note 6),136,Operational,Original
bufr4/0/22/003,22,éléments océanographiques,022003,Direction des vagues de la houle,degré vrai,0,0,9,degré vrai,0,3,(voir Note 6),136,Operational,Original
bufr4/0/22/004,22,éléments océanographiques,022004,Direction du courant,degré vrai,0,0,9,degré vrai,0,3,(voir Note 7),54,Operational,Original
bufr4/0/22/005,22,éléments océanographiques,022005,Direction du courant marin de surface,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/22/011,22,éléments océanographiques,022011,Période des vagues,s,0,0,6,s,0,2,,,Operational,Original
bufr4/0/22/012,22,éléments océanographiques,022012,Période des vagues de la mer du vent,s,0,0,6,s,0,2,,,Operational,Original
bufr4/0/22/013,22,éléments océanographiques,022013,Période des vagues de la houle,s,0,0,6,s,0,2,,,Operational,Original
bufr4/0/22/021,22,éléments océanographiques,022021,Hauteur des vagues,m,1,0,10,m,1,4,,,Operational,Original
bufr4/0/22/022,22,éléments océanographiques,022022,Hauteur des vagues de la mer du vent,m,1,0,10,m,1,4,,,Operational,Original
bufr4/0/22/023,22,éléments océanographiques,022023,Hauteur des vagues de la houle,m,1,0,10,m,1,4,,,Operational,Original
bufr4/0/22/025,22,éléments océanographiques,022025,écart type de la hauteur des vagues,m,2,0,10,m,2,4,,,Operational,Original
bufr4/0/22/026,22,éléments océanographiques,022026,écart type de la hauteur significative des vagues,m,2,0,10,m,2,4,,,Operational,Original
bufr4/0/22/031,22,éléments océanographiques,022031,Vitesse du courant,m/s,2,0,13,m/s,2,4,,,Operational,Original
bufr4/0/22/032,22,éléments océanographiques,022032,Vitesse du courant marin de surface,m/s,2,0,13,m/s,2,4,,,Operational,Original
bufr4/0/22/035,22,éléments océanographiques,022035,Hauteur de marée par rapport aux zéros hydrographiques locaux,m,2,0,14,m,2,4,,,Operational,Original
bufr4/0/22/036,22,éléments océanographiques,022036,Hauteur de marée résiduelle météorologique (montée ou retrait des eaux),m,2,0,14,m,2,4,,,Operational,Original
bufr4/0/22/037,22,éléments océanographiques,022037,Hauteur de marée par rapport aux zéros terrestres locaux,m,3,-10000,15,m,3,5,,,Operational,Original
bufr4/0/22/038,22,éléments océanographiques,022038,Hauteur de marée par rapport aux zéros hydrographiques locaux,m,3,-10000,15,m,3,5,,,Operational,Original
bufr4/0/22/039,22,éléments océanographiques,022039,Hauteur de marée résiduelle météorologique (montée ou retrait des eaux),m,3,-5000,12,m,3,4,(voir Note 4),55,Operational,Original
bufr4/0/22/040,22,éléments océanographiques,022040,Hauteur de marée résiduelle météorologique (montée ou retrait des eaux),m,3,-5000,14,m,3,5,(voir Note 4),55,Operational,Original
bufr4/0/22/041,22,éléments océanographiques,022041,Température de surface de la mer (moyenne mobile sur 15 jours),K,1,0,12,K,1,4,,,Operational,Original
bufr4/0/22/042,22,éléments océanographiques,022042,Température de la mer/de l'eau,K,1,0,12,K,1,4,,,Operational,Original
bufr4/0/22/043,22,éléments océanographiques,022043,Température de la mer/de l'eau,K,2,0,15,K,2,5,,,Operational,Original
bufr4/0/22/044,22,éléments océanographiques,022044,Vitesse du son,m/s,1,0,14,m/s,1,5,,,Operational,Original
bufr4/0/22/045,22,éléments océanographiques,022045,Température de la mer/de l'eau,K,3,0,19,K,3,6,,,Operational,Original
bufr4/0/22/046,22,éléments océanographiques,022046,Fraction de glace de mer,Numérique,2,0,7,Numérique,2,3,,,Operational,Original
bufr4/0/22/049,22,éléments océanographiques,022049,Température de surface de la mer,K,2,0,15,K,2,5,,,Operational,Original
bufr4/0/22/050,22,éléments océanographiques,022050,écart type de la température de surface de la mer,K,2,0,8,K,2,3,,,Operational,Original
bufr4/0/22/055,22,éléments océanographiques,022055,Numéro de cycle du flotteur,Numérique,0,0,10,Numérique,0,3,,,Operational,Original
bufr4/0/22/056,22,éléments océanographiques,022056,Direction du profil,Table de code,0,0,2,Table de code,0,1,,,Operational,Original
bufr4/0/22/059,22,éléments océanographiques,022059,Salinité de surface de la mer,‰,2,0,14,‰,2,5,,,Operational,Original
bufr4/0/22/060,22,éléments océanographiques,022060,état de l'ancre flottante - flotteur lagrangien,Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/22/061,22,éléments océanographiques,022061,état de la mer,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/22/062,22,éléments océanographiques,022062,Salinité,‰,2,0,14,‰,2,5,,,Operational,Original
bufr4/0/22/063,22,éléments océanographiques,022063,Profondeur totale de l'eau,m,0,0,14,m,0,5,,,Operational,Original
bufr4/0/22/064,22,éléments océanographiques,022064,Salinité,‰,3,0,17,‰,3,6,,,Operational,Original
bufr4/0/22/065,22,éléments océanographiques,022065,Pression d'eau,Pa,-3,0,17,Pa,-3,6,,,Operational,Original
bufr4/0/22/066,22,éléments océanographiques,022066,Conductivité de l'eau,S/m,6,0,26,S/m,6,8,,,Operational,Original
bufr4/0/22/067,22,éléments océanographiques,022067,Type d'instrument pour la mesure du profil de la température/salinité de l'eau,Table de code,0,0,10,Table de code,0,4,,,Operational,Original
bufr4/0/22/068,22,éléments océanographiques,022068,Types d'enregistreurs du profil de la température de l'eau,Table de code,0,0,7,Table de code,0,3,,,Operational,Original
bufr4/0/22/069,22,éléments océanographiques,022069,Densité spectrale des vagues,m2/Hz,3,0,22,2/m Hz,3,7,,,Operational,Original
bufr4/0/22/070,22,éléments océanographiques,022070,Hauteur significative des vagues,m,2,0,13,m,2,4,(voir Note 1),146,Operational,Original
bufr4/0/22/071,22,éléments océanographiques,022071,Période spectrale maximale des vagues,s,1,0,9,s,1,3,,,Operational,Original
bufr4/0/22/072,22,éléments océanographiques,022072,Longueur spectrale maximale des vagues,m,0,0,13,m,0,4,,,Operational,Original
