Id,Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status,translated_by
bufr4/3/06/001/1/002032,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306001,"(Profundidad, temperatura)",,002032,Indicador de digitalizaciÃ³n,,,,Operational,Original
bufr4/3/06/001/2/102000,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306001,"(Profundidad, temperatura)",,102000,RepeticiÃ³n diferida de 2 descriptores,,,,Operational,Original
bufr4/3/06/001/3/031001,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306001,"(Profundidad, temperatura)",,031001,Factor de repeticiÃ³n diferida del descriptor,,,,Operational,Original
bufr4/3/06/001/4/007062,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306001,"(Profundidad, temperatura)",,007062,Profundidad por debajo de la superficie del mar/ agua,,,,Operational,Original
bufr4/3/06/001/5/022042,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306001,"(Profundidad, temperatura)",,022042,Temperatura del mar/agua,,,,Operational,Original
bufr4/3/06/002/1/002031,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306002,(Corriente),,002031,DuraciÃ³n y hora de mediciÃ³n de la corriente,,,,Operational,Original
bufr4/3/06/002/2/022004,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306002,(Corriente),,022004,DirecciÃ³n de la corriente,,,,Operational,Original
bufr4/3/06/002/3/022031,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306002,(Corriente),,022031,Velocidad de la corriente,,,,Operational,Original
bufr4/3/06/003/1/002002,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306003,(Viento de superficie y temperatura),,002002,Tipo de instrumentos para la mediciÃ³n del viento,,,,Operational,Original
bufr4/3/06/003/2/011011,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306003,(Viento de superficie y temperatura),,011011,DirecciÃ³n del viento a 10 m,,,,Operational,Original
bufr4/3/06/003/3/011012,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306003,(Viento de superficie y temperatura),,011012,Velocidad del viento a 10 m,,,,Operational,Original
bufr4/3/06/003/4/012004,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306003,(Viento de superficie y temperatura),,012004,Temperatura del aire a 2 m,,,,Operational,Original
bufr4/3/06/004/1/002032,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,002032,Indicador de digitalizaciÃ³n,,,,Operational,Original
bufr4/3/06/004/2/002033,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,002033,MÃ©todo de mediciÃ³n de la salinidad/profundidad,,,,Operational,Original
bufr4/3/06/004/3/103000,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,103000,RepeticiÃ³n diferida de 3 descriptores,,,,Operational,Original
bufr4/3/06/004/4/031001,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,031001,Factor de repeticiÃ³n diferida del descriptor,,,,Operational,Original
bufr4/3/06/004/5/007062,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,007062,Profundidad por debajo de la superficie del mar/ agua,,,,Operational,Original
bufr4/3/06/004/6/022043,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,022043,Temperatura del mar/agua,,,,Operational,Original
bufr4/3/06/004/7/022062,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306004,"(Profundidad, temperatura, salinidad)",,022062,Salinidad,,,,Operational,Original
bufr4/3/06/005/1/002031,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306005,,,002031,DuraciÃ³n y hora de mediciÃ³n de la corriente,,,,Operational,Original
bufr4/3/06/005/2/103000,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306005,,,103000,RepeticiÃ³n diferida de 3 descriptores,,,,Operational,Original
bufr4/3/06/005/3/031001,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306005,,,031001,Factor de repeticiÃ³n diferida del descriptor,,,,Operational,Original
bufr4/3/06/005/4/007062,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306005,,,007062,Profundidad por debajo de la superficie del mar/ agua,,,,Operational,Original
bufr4/3/06/005/5/022004,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306005,,,022004,DirecciÃ³n de la corriente,,,,Operational,Original
bufr4/3/06/005/6/022031,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306005,,,022031,Velocidad de la corriente,,,,Operational,Original
bufr4/3/06/006/1/306003,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306006,(ParÃ¡metros (facultativos) sobre sondeos subacuÃ¡ticos),,306003,Viento y temperatura de superficie,,,,Operational,Original
bufr4/3/06/006/2/306002,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306006,(ParÃ¡metros (facultativos) sobre sondeos subacuÃ¡ticos),,306002,Corriente,,,,Operational,Original
bufr4/3/06/006/3/022063,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306006,(ParÃ¡metros (facultativos) sobre sondeos subacuÃ¡ticos),,022063,Profundidad total del agua,,,,Operational,Original
bufr4/3/06/007/1/001012,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306007,(ParÃ¡metros del bloque de reserva para boyas),,001012,DirecciÃ³n del movimiento de la plataforma de observaciÃ³n,,,,Operational,Original
bufr4/3/06/007/2/001014,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306007,(ParÃ¡metros del bloque de reserva para boyas),,001014,Velocidad de deriva de la plataforma (gran precisiÃ³n),,,,Operational,Original
bufr4/3/06/007/3/306008,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306007,(ParÃ¡metros del bloque de reserva para boyas),,306008,ParÃ¡metros de los instrumentos de las boyas,,,,Operational,Original
bufr4/3/06/007/4/004024,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306007,(ParÃ¡metros del bloque de reserva para boyas),,004024,PerÃ­odo o desplazamiento de tiempo,,,,Operational,Original
bufr4/3/06/007/5/027003,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306007,(ParÃ¡metros del bloque de reserva para boyas),,027003,Latitud alterna (precisiÃ³n aproximada),,,,Operational,Original
bufr4/3/06/007/6/028003,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306007,(ParÃ¡metros del bloque de reserva para boyas),,028003,Longitud alterna (precisiÃ³n aproximada),,,,Operational,Original
bufr4/3/06/008/1/002034,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306008,(ParÃ¡metros de los instrumentos de las boyas),,002034,Tipo de ancla flotante,,,,Operational,Original
bufr4/3/06/008/2/002035,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306008,(ParÃ¡metros de los instrumentos de las boyas),,002035,Longitud del cable,,,,Operational,Original
bufr4/3/06/008/3/002036,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306008,(ParÃ¡metros de los instrumentos de las boyas),,002036,Tipo de boya,,,,Operational,Original
bufr4/3/06/011/1/301021,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306011,"(Secuencia para la representaciÃ³n de identificaciÃ³n de la estaciÃ³n de observaciÃ³n de mareas, mÃ©todo de transmisiÃ³n, hora en que se transmite el mensaje y tiempo de referencia para los informes en una serie temporal)",,301021,Latitud/longitud (gran exactitud),,,,Operational,Original
bufr4/3/06/011/2/001075,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306011,"(Secuencia para la representaciÃ³n de identificaciÃ³n de la estaciÃ³n de observaciÃ³n de mareas, mÃ©todo de transmisiÃ³n, hora en que se transmite el mensaje y tiempo de referencia para los informes en una serie temporal)",,001075,IdentificaciÃ³n de la estaciÃ³n de observaciÃ³n de mareas,IdentificaciÃ³n alfanumÃ©rica (5 caracteres),,,Operational,Original
bufr4/3/06/011/3/002147,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306011,"(Secuencia para la representaciÃ³n de identificaciÃ³n de la estaciÃ³n de observaciÃ³n de mareas, mÃ©todo de transmisiÃ³n, hora en que se transmite el mensaje y tiempo de referencia para los informes en una serie temporal)",,002147,MÃ©todo de transmisiÃ³n al centro de recopilaciÃ³n,,,,Operational,Original
bufr4/3/06/011/4/301011,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306011,"(Secuencia para la representaciÃ³n de identificaciÃ³n de la estaciÃ³n de observaciÃ³n de mareas, mÃ©todo de transmisiÃ³n, hora en que se transmite el mensaje y tiempo de referencia para los informes en una serie temporal)",,301011,"AÃ±o, mes, dÃ­a",,,,Operational,Original
bufr4/3/06/011/5/301013,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306011,"(Secuencia para la representaciÃ³n de identificaciÃ³n de la estaciÃ³n de observaciÃ³n de mareas, mÃ©todo de transmisiÃ³n, hora en que se transmite el mensaje y tiempo de referencia para los informes en una serie temporal)",,301013,"Hora, minuto, segundo",,,,Operational,Original
bufr4/3/06/012/1/002007,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306012,"(Secuencia para la representaciÃ³n del tipo de sensor, calificador significativo del sensor y estado de funcionamiento)",,002007,Tipo de sensor del instrumento de mediciÃ³n del nivel de agua,,,,Operational,Original
bufr4/3/06/012/2/008015,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306012,"(Secuencia para la representaciÃ³n del tipo de sensor, calificador significativo del sensor y estado de funcionamiento)",,008015,Calificador significativo del sensor,,,,Operational,Original
bufr4/3/06/012/3/008032,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306012,"(Secuencia para la representaciÃ³n del tipo de sensor, calificador significativo del sensor y estado de funcionamiento)",,008032,Estado de funcionamiento,,,,Operational,Original
bufr4/3/06/012/4/306029,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306012,"(Secuencia para la representaciÃ³n del tipo de sensor, calificador significativo del sensor y estado de funcionamiento)",,306029,Secuencia para la representaciÃ³n de informaciÃ³n sobre el muestreo del tsunÃ¡metro respecto de las alturas de la columna de agua en el informe de la serie temporal,,,,Operational,Original
bufr4/3/06/013/1/306012,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306013,(Secuencia para la representaciÃ³n del nivel y residuo de agua en la serie temporal),,306012,"Secuencia para la representaciÃ³n del tipo de sensor, calificador significativo del sensor y estado de funcionamiento",,,,Operational,Original
bufr4/3/06/013/2/301011,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306013,(Secuencia para la representaciÃ³n del nivel y residuo de agua en la serie temporal),,301011,"AÃ±o, mes, dÃ­a",Fecha de referencia para la serie temporal,,,Operational,Original
bufr4/3/06/013/3/301013,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306013,(Secuencia para la representaciÃ³n del nivel y residuo de agua en la serie temporal),,301013,"Hora, minuto, segundo",Hora de referencia para la serie temporal,,,Operational,Original
bufr4/3/06/013/4/022120,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306013,(Secuencia para la representaciÃ³n del nivel y residuo de agua en la serie temporal),,022120,VerificaciÃ³n automÃ¡tica del nivel del agua en una estaciÃ³n de mareas,,,,Operational,Original
bufr4/3/06/013/5/022121,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306013,(Secuencia para la representaciÃ³n del nivel y residuo de agua en la serie temporal),,022121,VerificaciÃ³n manual del nivel del agua en una estaciÃ³n de mareas,,,,Operational,Original
bufr4/3/06/013/6/004015,06,Secuencias meteorológicas u oceanográficas comunes a las observaciones oceanográficas,306013,(Secuencia para la representaciÃ³n del nivel y residuo de agua en la serie temporal),,004015,Incremento de tiempo,AÃ±adido para inicializar la hora de referencia,,,Operational,Original
