Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status,translated_by
bufr4/0/40/005/1,040005,Banderines de corrección de la humedad del suelo,1,Humedad del suelo entre -20% y 0%,,,,,Operational,AI Translator: MCP
bufr4/0/40/005/2,040005,Banderines de corrección de la humedad del suelo,2,Humedad del suelo entre 100% y 120%,,,,,Operational,AI Translator: MCP
bufr4/0/40/005/3,040005,Banderines de corrección de la humedad del suelo,3,Corrección de la referencia de retrodispersión húmeda,,,,,Operational,AI Translator: MCP
bufr4/0/40/005/4,040005,Banderines de corrección de la humedad del suelo,4,Corrección de la referencia de retrodispersión en seco,,,,,Operational,AI Translator: MCP
bufr4/0/40/005/5,040005,Banderines de corrección de la humedad del suelo,5,Corrección de la dispersión de volumen en arena,,,,,Operational,AI Translator: MCP
bufr4/0/40/005/6-7,040005,Banderines de corrección de la humedad del suelo,6-7,Reservadas,,,,,Operational,AI Translator: MCP
bufr4/0/40/005/All-8,040005,Banderines de corrección de la humedad del suelo,Los 8,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/1,040006,Indicador de procesamiento de humedad del suelo,1,No suelo,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/2,040006,Banderines de proceso de la humedad el suelo,2,Sensibilidad a la humedad del suelo por debajo del límite,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/3,040006,Banderines de proceso de la humedad el suelo,3,Ruido azimutal por encima del límite,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/4,040006,Banderines de proceso de la humedad el suelo,4,Retrodispersión del haz de proa-popa fuera de rango,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/5,040006,Banderines de proceso de la humedad el suelo,5,Haz del medio-frontal fuera de rango,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/6,040006,Banderines de proceso de la humedad el suelo,6,Pendiente del haz medio-popa fuera de rango,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/7,040006,Banderines de proceso de la humedad el suelo,7,Humedad del suelo por debajo de -20%,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/8,040006,Banderines de proceso de la humedad el suelo,8,Humedad del suelo por encima del 120%,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/9-15,040006,Banderines de proceso de la humedad el suelo,9-15,Reservadas,,,,,Operational,AI Translator: MCP
bufr4/0/40/006/All-16,040006,Banderines de proceso de la humedad el suelo,Los 16,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/011/1,040011,Banderín de interpolación,1,Indicador de interpolación de la superficie media del mar (MSS),,,,,Operational,AI Translator: MCP
bufr4/0/40/011/2,040011,Banderín de interpolación,2,"Bandera de interpolación de la solución de marea oceánica 1 (0 = 4 puntos sobre el océano, 1 = menos de 4 puntos)",,,,,Operational,AI Translator: MCP
bufr4/0/40/011/3,040011,Banderín de interpolación,3,"Bandera de interpolación de solución 2 de marea oceánica (0 = 4 puntos sobre el océano, 1 = menos de 4 puntos)",,,,,Operational,AI Translator: MCP
bufr4/0/40/011/4,040011,Banderín de interpolación,4,"Indicador de interpolación de datos meteorológicos (0 = 4 puntos sobre el océano, 1 = menos de 4 puntos)",,,,,Operational,AI Translator: MCP
bufr4/0/40/011/5-7,040011,Banderín de interpolación,5-7,Reservadas,,,,,Operational,AI Translator: MCP
bufr4/0/40/011/All-8,040011,Banderín de interpolación,Los 8,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/012/1,040012,Banderín de calidad de datos radiométricos,1,Temperatura de brillo de 18.7 GHz,,,,,Operational,AI Translator: MCP
bufr4/0/40/012/2,040012,Banderín de calidad de datos radiométricos,2,Temperatura de brillo de 23.8 GHz,,,,,Operational,AI Translator: MCP
bufr4/0/40/012/3,040012,Banderín de calidad de datos radiométricos,3,temperatura de brillo de 34 GHz,,,,,Operational,AI Translator: MCP
bufr4/0/40/012/4-7,040012,Banderín de calidad de datos radiométricos,4-7,Reservadas,,,,,Operational,AI Translator: MCP
bufr4/0/40/012/All-8,040012,Banderín de calidad de datos radiométricos,Los 8,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/013/0,040013,Banderín de interpretación de la temperatura de luminancia radiométrica,0,Interpolación sin brecha entre los datos de JMR,,,,,Operational,AI Translator: MCP
bufr4/0/40/013/1,040013,Banderín de interpretación de la temperatura de luminancia radiométrica,1,Interpolación con brechas entre datos de JMR,,,,,Operational,AI Translator: MCP
bufr4/0/40/013/2,040013,Banderín de interpretación de la temperatura de luminancia radiométrica,2,Extrapolación de datos de JMR,,,,,Operational,AI Translator: MCP
bufr4/0/40/013/3,040013,Banderín de interpretación de la temperatura de luminancia radiométrica,3,Falla de extrapolación e interpolación,,,,,Operational,AI Translator: MCP
bufr4/0/40/013/4-6,040013,Banderín de interpretación de la temperatura de luminancia radiométrica,4-6,Reservadas,,,,,Operational,AI Translator: MCP
bufr4/0/40/013/7,040013,Banderín de interpretación de la temperatura de luminancia radiométrica,7,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/1,040020,GqisFlagQualDetailed — banderín de calidad del sistema,1,NZPD y error complejo de calibración,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/2,040020,GqisFlagQualDetailed — banderín de calidad del sistema,2,Banda 3 afectada por pico,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/3,040020,GqisFlagQualDetailed — banderín de calidad del sistema,3,Banda 3 afectada por saturación,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/4,040020,GqisFlagQualDetailed — banderín de calidad del sistema,4,Banda 2 afectada por pico,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/5,040020,GqisFlagQualDetailed — banderín de calidad del sistema,5,Banda 1 afectada por pico,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/6,040020,GqisFlagQualDetailed — banderín de calidad del sistema,6,Desbordamiento/subdesbordamiento,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/7,040020,GqisFlagQualDetailed — banderín de calidad del sistema,7,Error de procesamiento a bordo,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/8,040020,GqisFlagQualDetailed — banderín de calidad del sistema,8,Error de calibración espectral,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/9,040020,GqisFlagQualDetailed — banderín de calidad del sistema,9,Error de calibración radiométrica,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/10,040020,GqisFlagQualDetailed — banderín de calidad del sistema,10,Datos AVHRR faltantes,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/11,040020,GqisFlagQualDetailed — banderín de calidad del sistema,11,Datos de IIS faltantes,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/12,040020,GqisFlagQualDetailed — banderín de calidad del sistema,12,Datos de sondeador faltantes,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/13,040020,GqisFlagQualDetailed — banderín de calidad del sistema,13,Bandera de resumen GqisFlagQual para todas las bandas,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/14,040020,GqisFlagQualDetailed — banderín de calidad del sistema,14,Error de procesamiento en tierra,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/15,040020,GqisFlagQualDetailed — banderín de calidad del sistema,15,Error de intercalibración de IASI/AVHRR,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/16,040020,GqisFlagQualDetailed — banderín de calidad del sistema,16,Repuesto,,,,,Operational,AI Translator: MCP
bufr4/0/40/020/All-17,040020,GqisFlagQualDetailed — banderín de calidad del sistema,Los 17,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/023/1,040023,Banderines de estado del altímetro auxiliar,1,"Secuencia de banda (0 = 3Ku_1C_3Ku, 1 = 2Ku_1C_2Ku)",,,,,Operational,AI Translator: MCP
bufr4/0/40/023/2,040023,Banderines de estado del altímetro auxiliar,2,"Frecuencia de banda C (0 = 320 MHz, 1 = 100 MHz)",,,,,Operational,AI Translator: MCP
bufr4/0/40/023/3,040023,Banderines de estado del altímetro auxiliar,3,"Estado de la banda C (0 = Activado, 1 = Desactivado)",,,,,Operational,AI Translator: MCP
bufr4/0/40/023/4,040023,Banderines de estado del altímetro auxiliar,4,"Estado de la banda Ku (0 = Activado, 1 = Desactivado)",,,,,Operational,AI Translator: MCP
bufr4/0/40/023/All-5,040023,Banderines de estado del altímetro auxiliar,Los 5,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/40/024/0,040024,Disponibilidad de mapa meteorológico,0,2 mapas disponibles (con 6 horas de diferencia),,,,,Operational,AI Translator: MCP
bufr4/0/40/024/1,040024,Disponibilidad de mapa meteorológico,1,2 mapas disponibles (> 6 horas de diferencia),,,,,Operational,AI Translator: MCP
bufr4/0/40/024/2,040024,Disponibilidad de mapa meteorológico,2,1 mapa disponible; datos extrapolados,,,,,Operational,AI Translator: MCP
